City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
472,isiro,2.7739,27.616,18.42,86,5,0.5,CD,1675297456
473,wad madani,14.4012,33.5199,22.17,16,93,7.67,SD,1675297458
474,taganrog,47.2362,38.8969,0.72,88,100,3.93,RU,1675297325
475,ergani,38.2653,39.7621,1.29,100,100,3.41,TR,1675297460
476,ridgecrest,35.6225,-117.6709,15.21,17,20,3.6,US,1675297460
477,san vicente,-26.6167,-54.1333,21.69,71,38,1.13,AR,1675297432
478,kyabe,9.4515,18.9449,27.98,14,7,2.97,TD,1675297463
479,dunedin,-45.8742,170.5036,21.0,82,51,3.13,NZ,1675297464
480,krasnoselkup,65.7,82.4667,-16.94,99,88,3.83,RU,1675297466
481,toktogul,41.8708,72.9402,0.2,77,100,0.71,KG,1675297466
482,huangpu,25.4433,113.1747,14.9,79,100,1.55,CN,1675297467
483,atasu,48.6814,71.6433,-15.59,96,40,4.38,KZ,1675297468
484,ilulissat,69.2167,-51.1,-9.99,67,75,12.35,GL,1675297297
485,karpathos,35.507,27.2132,9.98,71,22,6.69,GR,1675297471
486,khandbari,27.3747,87.2039,11.32,35,0,1.4,NP,1675297472
487,mananara,-16.1667,49.7667,23.93,95,79,2.48,MG,1675297475
488,merzifon,40.8733,35.4631,-2.3,100,75,2.06,TR,1675297476
489,paamiut,61.994,-49.6678,-8.87,73,100,3.58,GL,1675297477
490,traiguen,-38.25,-72.6833,14.78,58,5,3.75,CL,1675297477
491,iwanai,42.9744,140.5089,-5.11,74,99,7.48,JP,1675297477
492,namibe,-15.1961,12.1522,22.0,81,64,2.06,AO,1675297478
493,usak,38.5,29.4167,-3.29,79,1,0.69,TR,1675297479
494,porbandar,21.6422,69.6093,18.37,34,81,5.64,IN,1675297480
495,kamra,33.7473,73.5111,8.31,46,100,4.31,PK,1675297480
496,guarda,40.5373,-7.2658,-1.5,92,0,2.78,PT,1675297481
497,sri aman,1.2376,111.4621,24.03,100,20,0.0,MY,1675297481
498,shimoda,34.6667,138.95,8.2,54,99,2.17,JP,1675297284
499,kahului,20.8947,-156.47,26.09,80,40,5.14,US,1675297247
500,vao,-22.6667,167.4833,26.51,77,55,2.8,NC,1675297482
501,yining,29.0361,114.5636,7.82,61,100,2.1,CN,1675297483
502,lewiston,44.1003,-70.2148,-7.55,77,58,0.2,US,1675297483
503,porto walter,-8.2686,-72.7439,22.82,97,100,0.89,BR,1675297484
504,nueva helvecia,-34.3,-57.2333,23.66,68,100,6.98,UY,1675297484
505,mizdah,31.4451,12.9801,7.53,69,84,1.55,LY,1675297485
506,ryotsu,38.0833,138.4333,2.08,63,98,8.28,JP,1675297486
507,sola,-13.8833,167.55,27.44,71,39,0.87,VU,1675297486
508,missoula,47.0166,-113.8009,-5.09,80,93,1.62,US,1675297360
509,sur,22.5667,59.5289,18.39,72,3,1.87,OM,1675297487
510,kruisfontein,-34.0033,24.7314,16.26,81,1,2.51,ZA,1675297487
511,vila velha,-20.3297,-40.2925,25.97,87,0,5.14,BR,1675297414
512,bajil,15.0584,43.2851,22.9,73,30,0.93,YE,1675297488
513,bud,39.447,-86.1758,-1.75,58,80,0.54,US,1675297489
514,vanavara,60.34,102.2797,-24.88,99,100,1.87,RU,1675297489
515,lasa,46.6166,10.7002,4.49,94,59,3.03,IT,1675297304
516,xunchang,28.4543,104.715,11.4,55,95,1.21,CN,1675297490
517,barranco,9.5167,-82.7,24.39,87,33,0.1,PA,1675297491
518,gombe,10.2897,11.1673,23.43,24,22,5.09,NG,1675297491
519,giyani,-23.3025,30.7187,21.13,80,14,1.43,ZA,1675297492
520,fairview,40.8126,-73.999,1.96,37,0,6.69,US,1675297493
521,viytivka,48.426,29.5429,-1.77,92,53,3.41,UA,1675297493
522,san luis de la paz,21.3,-100.5167,21.5,27,95,3.89,MX,1675297494
523,santo antonio do sudoeste,-26.0736,-53.7253,21.43,84,47,1.17,BR,1675297494
524,bireun,5.203,96.7009,24.56,83,100,2.02,ID,1675297494
525,buriti bravo,-5.8372,-43.8336,22.2,91,70,0.65,BR,1675297495
526,kysyl-syr,63.8986,122.7617,-27.93,100,100,1.9,RU,1675297496
527,green river,41.5286,-109.4662,-3.78,84,25,1.71,US,1675297258
528,changji,44.0167,87.3167,-16.56,85,40,1.0,CN,1675297496
529,pasighat,28.0667,95.3333,16.07,52,0,1.37,IN,1675297496
530,alad,12.6168,122.2475,26.0,84,81,6.6,PH,1675297497
531,sarmanovo,55.2553,52.5891,-10.62,91,92,1.75,RU,1675297498
532,verkhoyansk,67.5447,133.385,-35.57,100,96,0.55,RU,1675297498
533,tezu,27.9167,96.1667,16.21,30,1,1.87,IN,1675297498
534,tonj,7.2737,28.6822,25.66,20,5,1.1,SS,1675297499
535,sincai,46.65,24.3833,0.54,93,100,3.19,RO,1675297499
536,boa vista,2.8197,-60.6733,27.99,65,40,2.57,BR,1675297500
537,hambantota,6.1241,81.1185,24.33,89,100,3.16,LK,1675297500
538,anna,51.4842,40.4299,-4.53,98,100,2.29,RU,1675297500
539,melville,40.7934,-73.4151,1.97,55,0,1.34,US,1675297501
540,dalvik,65.9702,-18.5286,-4.04,92,93,3.72,IS,1675297501
541,najran,17.4924,44.1277,16.36,45,15,1.85,SA,1675297504
542,atambua,-9.1061,124.8925,25.56,82,100,1.0,ID,1675297505
543,kamenka,51.3223,42.7678,-2.07,97,100,3.98,RU,1675297510
544,nongan,44.382,125.1685,-16.12,82,5,2.77,CN,1675297511
545,yelets,52.6237,38.5017,-3.9,97,98,3.12,RU,1675297512
546,kuala terengganu,5.3302,103.1408,23.97,94,40,1.54,MY,1675297513
547,rocha,-34.4833,-54.3333,20.35,82,95,2.67,UY,1675297514
548,maneadero,31.7167,-116.5667,15.61,66,0,0.45,MX,1675297515
549,duminichi,53.9345,35.1099,-2.36,86,100,4.78,RU,1675297517
550,camacha,33.0833,-16.3333,14.68,63,20,5.66,PT,1675297518
551,cukai,4.25,103.4167,23.97,93,100,1.92,MY,1675297519
552,amuntai,-2.4177,115.2494,24.27,95,100,0.64,ID,1675297520
553,okrika,4.7416,7.0849,26.91,79,2,3.18,NG,1675297522
554,northam,51.0333,-4.2167,9.1,91,43,5.86,GB,1675297523
555,goderich,43.7501,-81.7165,-1.72,63,98,7.72,CA,1675297319
556,kununurra,-15.7667,128.7333,27.99,89,40,1.03,AU,1675297412
557,tiznit,29.5833,-9.5,10.03,36,23,1.89,MA,1675297390
558,saint-denis,48.9167,2.3333,7.43,79,0,4.63,FR,1675297528
559,puyo,-1.4667,-77.9833,20.79,83,99,1.34,EC,1675297532
560,aban,56.67,96.06,-19.41,100,100,1.51,RU,1675297532
561,neuquen,-38.9516,-68.0591,26.94,44,20,2.06,AR,1675297333
562,douentza,14.9951,-2.9517,20.87,9,6,1.96,ML,1675297535
563,gornopravdinsk,60.05,69.9,-11.02,99,99,1.8,RU,1675297536
564,tombouctou,20.0,-3.0,16.09,14,84,5.02,ML,1675297538
565,khailar,25.35,78.5333,10.89,47,43,2.17,IN,1675297538
566,poli,-3.3333,36.8,14.89,89,15,1.23,TZ,1675297539
567,pionerskiy,54.9508,20.2275,2.08,87,92,7.92,RU,1675297540
568,sokoni,-6.4333,39.55,26.68,79,93,2.92,TZ,1675297541
569,newport,51.5877,-2.9984,8.95,86,76,5.31,GB,1675297541
570,aklavik,68.2191,-135.0107,-35.0,75,0,2.06,CA,1675297241
